Time,Alt_km,Lon_deg,Lat_deg,Vel,Gamma_deg,Psi_deg,Alpha_deg,Bank_deg
5.95,39.9077,0.225927,0.225102,5995.39,-0.187014,45.2095,3.50293,43.5321
6,39.9067,0.227828,0.22699,5995.35,-0.187117,45.2113,3.50293,43.4813
6.05,39.9057,0.22973,0.228877,5995.31,-0.187217,45.213,3.50293,43.4316
6.1,39.9048,0.231631,0.230764,5995.27,-0.187316,45.2148,3.50293,43.3827
6.15,39.9038,0.233533,0.232652,5995.23,-0.187414,45.2166,3.50293,43.3347
6.2,39.9028,0.235434,0.234539,5995.19,-0.187499,45.2183,3.52051,43.2876
6.25,39.9018,0.237336,0.236426,5995.15,-0.187583,45.2201,3.52051,43.2461
6.3,39.9008,0.239238,0.238313,5995.11,-0.187665,45.2218,3.52051,43.2054
6.35,39.8999,0.241139,0.2402,5995.07,-0.187746,45.2236,3.52051,43.1655
6.4,39.8989,0.243041,0.242087,5995.04,-0.187825,45.2254,3.52051,43.1262
6.45,39.8979,0.244943,0.243973,5995,-0.187903,45.2271,3.52051,43.0877
6.5,39.8969,0.246845,0.24586,5994.96,-0.18798,45.2289,3.52051,43.0498
6.55,39.8959,0.248746,0.247747,5994.92,-0.188055,45.2306,3.52051,43.0127
6.6,39.8949,0.250648,0.249633,5994.88,-0.188129,45.2324,3.52051,42.9762
6.65,39.894,0.25255,0.25152,5994.84,-0.188202,45.2341,3.52051,42.9404
6.7,39.893,0.254452,0.253406,5994.8,-0.188263,45.2359,3.53809,42.9052
6.75,39.892,0.256354,0.255293,5994.76,-0.188323,45.2377,3.53809,42.8754
6.8,39.891,0.258256,0.257179,5994.72,-0.188381,45.2394,3.53809,42.8461
6.85,39.89,0.260159,0.259065,5994.68,-0.188439,45.2412,3.53809,42.8174
6.9,39.889,0.262061,0.260951,5994.64,-0.188495,45.243,3.53809,42.7891
6.95,39.888,0.263963,0.262838,5994.6,-0.188551,45.2447,3.53809,42.7614
7,39.8871,0.265865,0.264724,5994.57,-0.188605,45.2465,3.53809,42.7342
7.05,39.8861,0.267768,0.26661,5994.53,-0.188658,45.2482,3.53809,42.7075
7.1,39.8851,0.26967,0.268495,5994.49,-0.188711,45.25,3.53809,42.6813
7.15,39.8841,0.271572,0.270381,5994.45,-0.188762,45.2518,3.53809,42.6556
7.2,39.8831,0.273475,0.272267,5994.41,-0.188812,45.2535,3.53809,42.6303
7.25,39.8821,0.275377,0.274153,5994.37,-0.188862,45.2553,3.53809,42.6055
7.3,39.8811,0.27728,0.276038,5994.33,-0.18891,45.257,3.53809,42.5812
7.35,39.8801,0.279183,0.277924,5994.29,-0.188958,45.2588,3.53809,42.5572
7.4,39.8792,0.281085,0.279809,5994.25,-0.189004,45.2605,3.53809,42.5338
7.45,39.8782,0.282988,0.281695,5994.21,-0.18905,45.2623,3.53809,42.5107
7.5,39.8772,0.284891,0.28358,5994.17,-0.189095,45.264,3.53809,42.4881
7.55,39.8762,0.286793,0.285465,5994.13,-0.189139,45.2658,3.53809,42.4659
7.6,39.8752,0.288696,0.28735,5994.09,-0.189171,45.2676,3.55566,42.4441
7.65,39.8742,0.290599,0.289235,5994.05,-0.189203,45.2693,3.55566,42.4274
7.7,39.8732,0.292502,0.291121,5994.02,-0.189234,45.2711,3.55566,42.4111
7.75,39.8722,0.294405,0.293005,5993.98,-0.189264,45.2728,3.55566,42.395
7.8,39.8712,0.296308,0.29489,5993.94,-0.189293,45.2746,3.55566,42.3793
7.85,39.8702,0.298211,0.296775,5993.9,-0.189322,45.2764,3.55566,42.3639
7.9,39.8693,0.300114,0.29866,5993.86,-0.18935,45.2781,3.55566,42.3487
7.95,39.8683,0.302017,0.300545,5993.82,-0.189377,45.2799,3.55566,42.3339
8,39.8673,0.303921,0.302429,5993.78,-0.189404,45.2817,3.55566,42.3194
8.05,39.8663,0.305824,0.304314,5993.74,-0.18943,45.2834,3.55566,42.3052
8.1,39.8653,0.307727,0.306198,5993.7,-0.189456,45.2852,3.55566,42.2913
8.15,39.8643,0.30963,0.308083,5993.66,-0.189481,45.2869,3.55566,42.2776
8.2,39.8633,0.311534,0.309967,5993.62,-0.189505,45.2887,3.55566,42.2643
8.25,39.8623,0.313437,0.311851,5993.58,-0.189529,45.2905,3.55566,42.2512
8.3,39.8613,0.315341,0.313735,5993.54,-0.189552,45.2922,3.55566,42.2383
8.35,39.8603,0.317244,0.31562,5993.5,-0.189574,45.294,3.55566,42.2258
8.4,39.8593,0.319148,0.317504,5993.46,-0.189596,45.2957,3.55566,42.2135
8.45,39.8584,0.321051,0.319388,5993.42,-0.189618,45.2975,3.55566,42.2015
8.5,39.8574,0.322955,0.321271,5993.38,-0.189638,45.2993,3.55566,42.1897
8.55,39.8564,0.324859,0.323155,5993.34,-0.189659,45.301,3.55566,42.1781
8.6,39.8554,0.326763,0.325039,5993.3,-0.189678,45.3028,3.55566,42.1669
8.65,39.8544,0.328666,0.326923,5993.26,-0.189697,45.3045,3.55566,42.1558
8.7,39.8534,0.33057,0.328806,5993.22,-0.189716,45.3063,3.55566,42.145
8.75,39.8524,0.332474,0.33069,5993.19,-0.189734,45.3081,3.55566,42.1345
8.8,39.8514,0.334378,0.332573,5993.15,-0.189751,45.3098,3.55566,42.1242
8.85,39.8504,0.336282,0.334457,5993.11,-0.189768,45.3116,3.55566,42.1141
8.9,39.8494,0.338186,0.33634,5993.07,-0.189785,45.3133,3.55566,42.1042
8.95,39.8484,0.34009,0.338223,5993.03,-0.189801,45.3151,3.55566,42.0946
9,39.8474,0.341994,0.340107,5992.99,-0.189816,45.3169,3.55566,42.0851
9.05,39.8464,0.343898,0.34199,5992.95,-0.189831,45.3186,3.55566,42.0759
9.1,39.8455,0.345803,0.343873,5992.91,-0.189846,45.3204,3.55566,42.0669
9.15,39.8445,0.347707,0.345756,5992.87,-0.18986,45.3221,3.55566,42.0582
9.2,39.8435,0.349611,0.347639,5992.83,-0.189873,45.3239,3.55566,42.0496
9.25,39.8425,0.351515,0.349522,5992.79,-0.189886,45.3257,3.55566,42.0412
9.3,39.8415,0.35342,0.351404,5992.75,-0.189899,45.3274,3.55566,42.0331
9.35,39.8405,0.355324,0.353287,5992.71,-0.189911,45.3292,3.55566,42.0251
9.4,39.8395,0.357229,0.35517,5992.67,-0.189923,45.3309,3.55566,42.0173
9.45,39.8385,0.359133,0.357052,5992.63,-0.189934,45.3327,3.55566,42.0098
9.5,39.8375,0.361038,0.358935,5992.59,-0.189945,45.3345,3.55566,42.0024
9.55,39.8365,0.362943,0.360817,5992.55,-0.189955,45.3362,3.55566,41.9952
9.6,39.8355,0.364847,0.362699,5992.51,-0.189965,45.338,3.55566,41.9882
9.65,39.8345,0.366752,0.364582,5992.47,-0.189975,45.3397,3.55566,41.9814
9.7,39.8335,0.368657,0.366464,5992.43,-0.189984,45.3415,3.55566,41.9747
9.75,39.8325,0.370561,0.368346,5992.39,-0.189993,45.3433,3.55566,41.9682
9.8,39.8316,0.372466,0.370228,5992.35,-0.190001,45.345,3.55566,41.962
9.85,39.8306,0.374371,0.37211,5992.31,-0.190009,45.3468,3.55566,41.9558
9.9,39.8296,0.376276,0.373992,5992.27,-0.190017,45.3486,3.55566,41.9499
9.95,39.8286,0.378181,0.375874,5992.23,-0.190024,45.3503,3.55566,41.9441
10,39.8276,0.380086,0.377756,5992.19,-0.19003,45.3521,3.55566,41.9385
10.05,39.8266,0.381991,0.379637,5992.15,-0.190037,45.3538,3.55566,41.9331
10.1,39.8256,0.383896,0.381519,5992.11,-0.190043,45.3556,3.55566,41.9278
10.15,39.8246,0.385802,0.383401,5992.07,-0.190049,45.3574,3.55566,41.9227
10.2,39.8236,0.387707,0.385282,5992.03,-0.190054,45.3591,3.55566,41.9177
10.25,39.8226,0.389612,0.387164,5992,-0.190059,45.3609,3.55566,41.9129
10.3,39.8216,0.391517,0.389045,5991.96,-0.190063,45.3626,3.55566,41.9082
10.35,39.8206,0.393423,0.390926,5991.92,-0.190068,45.3644,3.55566,41.9037
10.4,39.8196,0.395328,0.392807,5991.88,-0.190071,45.3662,3.55566,41.8994
10.45,39.8186,0.397234,0.394689,5991.84,-0.190075,45.3679,3.55566,41.8951
10.5,39.8176,0.399139,0.39657,5991.8,-0.190078,45.3697,3.55566,41.8911
10.55,39.8166,0.401045,0.398451,5991.76,-0.190081,45.3714,3.55566,41.8872
